zip_code,public_transportation_pct,public_transportation_population
01379,3.3,13
01440,0.4,34
01505,0.9,23
01524,0.5,20
01529,1.8,32
01583,0.7,19
01588,0.0,0
01609,3.3,275
01721,6.9,684
01731,3.5,28
01740,3.2,88
01741,2.7,64
01770,9.4,195
01773,9.5,223
01775,2.7,100
01821,3.6,640
01843,3.6,430
01863,3.2,147
01864,4.2,359
01876,2.8,451
01880,8.5,1255
01906,8.1,1181
01923,2.9,407
01929,8.9,160
01940,3.2,215
01028,1.7,133
01033,0.7,25
01037,0.0,0
01005,0.0,0
01027,2.2,220
01038,0.6,11
01054,0.8,8
01103,9.0,82
01084,0.0,0
01092,0.0,0
01107,8.8,318
01119,0.8,44
01236,0.0,0
01245,0.7,3
01254,0.0,0
01262,2.7,17
01338,0.0,0
01368,0.0,0
01453,1.1,232
01460,4.1,206
01462,1.4,78
01475,0.0,0
01519,3.5,129
01532,2.3,182
01534,1.3,45
01535,1.6,41
01585,1.1,26
01050,0.0,0
01108,7.2,834
01128,1.4,21
01235,0.3,4
01026,2.0,9
01531,0.0,0
01603,3.2,296
01001,0.9,80
01607,2.7,109
01702,4.5,946
01760,8.5,1619
01778,5.2,371
01887,4.3,553
01830,4.7,621
01852,3.8,637
01879,1.0,71
01921,1.9,80
01105,7.1,241
01201,2.1,458
01230,2.0,84
01238,2.3,64
01257,0.0,0
01367,0.0,0
01430,0.4,13
01432,2.2,100
01436,0.0,0
01463,1.2,77
01468,0.0,0
01516,0.3,15
01523,1.6,55
01541,0.3,5
01560,4.2,95
01570,0.6,50
01608,7.3,80
01970,10.3,2375
01985,3.6,82
01966,7.5,256
01745,0.0,0
01746,4.7,347
01754,4.3,251
01749,1.1,118
01827,1.0,18
01833,0.6,27
01844,1.4,384
01944,16.1,428
01845,3.6,551
01850,3.7,278
01915,8.3,1828
01040,1.5,237
01039,0.7,5
01905,12.4,1542
01824,3.0,406
01450,4.1,232
01612,1.2,30
01960,3.6,976
01969,4.5,148
01983,0.8,25
01010,0.0,0
01036,0.3,8
01220,0.4,18
01718,11.1,44
01537,0.1,1
01521,0.0,0
01610,5.9,561
01550,0.1,10
01542,2.5,31
01757,1.7,255
01776,3.3,287
01803,3.2,426
01810,4.4,756
01832,4.1,477
01860,3.3,124
01862,3.2,179
01890,12.1,1322
01118,1.0,67
01469,1.3,52
01081,0.0,0
01886,1.7,205
01022,0.0,0
01748,6.9,584
01566,0.2,5
01002,10.4,1548
01011,0.0,0
01080,0.0,0
01109,5.6,613
01151,2.9,105
01222,0.0,0
01225,0.0,0
01337,0.0,0
01341,0.8,8
01373,2.1,47
01346,0.0,0
01351,0.7,8
01366,0.5,3
01376,1.1,26
01378,0.0,0
01772,2.6,126
01854,4.5,602
01199,-666666666.0,0
01009,0.0,0
01937,0.0,0
01093,0.0,0
01434,2.8,7
01561,0.0,0
01243,0.0,0
01270,0.0,0
01354,0.0,0
01074,0.0,0
01224,10.8,12
01063,3.8,12
01094,0.0,0
01097,0.0,0
01003,4.0,143
01089,2.2,316
01259,5.8,14
01507,0.3,19
01581,3.7,351
01229,0.0,0
01343,0.0,0
01347,0.0,0
01260,0.0,0
01066,-666666666.0,0
01086,0.0,0
01079,0.0,0
01525,0.0,0
01901,29.4,215
01247,1.6,111
01253,1.9,7
01331,1.2,74
01330,1.2,11
01266,0.5,4
01340,0.5,4
01350,0.0,0
01438,0.0,0
01007,0.6,51
01020,1.1,168
01030,0.0,0
01034,0.8,10
01035,0.8,21
01053,3.7,26
01057,0.0,0
01082,0.5,25
01085,0.5,100
01088,0.0,0
01104,5.0,450
01106,0.3,22
01226,0.5,19
01255,1.0,4
01258,1.7,3
01301,0.4,35
01339,0.5,3
01370,0.0,0
01375,16.0,374
01452,0.6,16
01464,4.0,119
01474,0.0,0
01501,0.8,70
01503,0.9,15
01504,0.3,17
01510,0.3,23
01515,0.4,5
01562,0.5,32
01590,0.2,9
01564,0.6,25
01568,2.0,80
01571,0.5,30
01605,5.4,662
01606,1.9,190
01719,5.9,184
01013,1.8,180
01029,0.0,0
01008,0.0,0
01012,0.0,0
01031,0.0,0
01032,0.9,3
01056,0.5,55
01060,2.7,229
01069,0.0,0
01070,1.1,4
01077,0.2,10
01083,0.0,0
01095,0.6,43
01098,2.2,16
01129,0.0,0
01237,0.6,8
01244,0.0,0
01902,15.6,3548
01913,1.3,126
01922,1.5,23
01930,4.7,691
01701,3.5,624
01602,2.3,289
01611,0.0,0
01730,2.9,198
01835,2.0,145
01904,9.0,870
01908,9.7,193
01945,7.2,705
01950,3.5,331
01952,2.7,117
01984,2.9,67
01720,5.9,701
01742,7.8,638
01747,3.5,108
01756,5.4,182
01834,1.9,67
01527,0.4,26
01522,0.0,0
01536,4.1,162
01540,0.8,47
01543,0.0,0
01545,2.7,496
01569,0.2,11
01604,1.8,314
01752,1.9,424
01801,5.2,1181
01826,1.8,303
01907,12.1,874
01949,2.3,96
01951,8.0,168
01518,0.0,0
01520,0.6,46
01851,3.3,486
01867,8.9,1187
01840,8.0,150
01841,4.8,1009
01938,3.2,234
01982,7.1,260
01071,0.0,0
01072,0.0,0
01062,1.2,63
01068,0.6,6
01073,0.0,0
01264,8.0,7
01075,1.8,167
01096,0.1,1
01223,0.0,0
01342,0.0,0
01267,1.1,40
01240,0.0,0
01242,0.0,0
01256,0.0,0
01344,2.1,17
01349,7.1,45
01355,1.2,5
01360,0.0,0
01420,2.5,463
01431,0.8,14
01451,3.9,90
01467,0.0,0
01473,4.4,182
01506,0.0,0
01364,0.9,30
03032,0.0,0
03037,0.0,0
03042,0.4,16
03044,0.0,0
03049,0.3,12
03062,1.9,275
03086,0.0,0
03110,1.1,122
03225,0.0,0
03261,0.0,0
03268,0.0,0
03291,0.0,0
03449,0.0,0
03458,0.0,0
03031,0.3,20
03038,1.0,186
03102,0.9,143
03045,0.4,28
03106,0.7,56
03229,0.0,0
03243,1.7,9
03263,0.0,0
03444,1.9,15
03448,0.0,0
03464,0.0,0
03466,0.0,0
03608,0.9,13
03765,0.0,0
03773,0.1,3
03816,0.0,0
