Location,Net Annual Sales,Number of Female Employees
"Millburn, NJ",150803012.0,27
"Los Angeles, CA",110872084.0,17
"Houston, TX",183945873.0,22
"Miami, FL",156355396.0,18
"San Mateo, CA",143108603.0,17
"Seattle, WA",142755480.0,33
Arlington VA,144772604.0,28
"Portland, OR",179608438.0,32
"Reno, NV",145101244.0,19
"Chicago, IL",171491596.0,24
"Atlanta, GA",198386988.0,27
"Orlando, FL",180188054.0,24
"Jacksonville, FL",158479693.0,32
"Round Rock, TX",181820474.0,27
"Phoenix, AZ",95512810.7,18
"Charlotte, NC",199653776.0,32
"Philadelphia, PA",193111679.0,31
"Kansas City, MO",176816637.0,35
"Dallas, TX",168769837.0,33
"Boston, MA",350520724.0,20
